,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,cleaning_fee,guests_included,extra_people,maximum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,first_review_since_host,last_review_month,host_active_days,Wireless Internet,Heating,Kitchen,Smoke Detector,Essentials,Dryer,Washer,Internet,Shampoo,TV,Carbon Monoxide Detector,Fire Extinguisher,Free Parking on Premises,Family/Kid Friendly,First Aid Kit,Cable TV,Indoor Fireplace,Pets live on this property,Hangers,Elevator in Building,Hair Dryer,Laptop Friendly Workspace,Iron,Safety Card,Air Conditioning,24-Hour Check-in,Buzzer/Wireless Intercom,Pets Allowed,Gym,yield
0,within a few hours,90-99%,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,4,1.0,1.0,1.0,0.0,2,5.0,365,71,80-94/100,10/10,10/10,10/10,10/10,9/10,10/10,0.0,moderate,0.0,0.0,2,0-6 months,0-2 weeks,1607.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,345.95000000000005
1,within an hour,90-99%,1.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,4,1.0,1.0,1.0,40.0,1,0.0,90,16,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,strict,1.0,1.0,6,0-6 months,0-2 weeks,1047.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,444.0
2,within a few hours,50-89%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,11,4.5,5.0,7.0,300.0,10,25.0,30,17,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,strict,0.0,0.0,2,0-6 months,2-6 months,571.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4485.0
3,unknown,unknown,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,3,1.0,0.0,2.0,0.0,1,0.0,1125,0,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,flexible,0.0,0.0,1,no reviews,no reviews,789.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,6,2.0,3.0,3.0,125.0,6,15.0,1125,90,80-94/100,9/10,9/10,10/10,10/10,9/10,9/10,0.0,strict,0.0,0.0,1,6-12 months,2-6 months,1497.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.5
5,unknown,unknown,0.0,1.0,1.0,Queen Anne,1.0,House,Private room,2,1.0,1.0,1.0,40.0,1,30.0,6,27,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,strict,0.0,0.0,1,4+ years,2-6 months,1836.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0
6,within an hour,100%,1.0,1.0,1.0,Queen Anne,1.0,House,Private room,2,1.0,1.0,1.0,0.0,1,10.0,14,71,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,0.0,0.0,1,1-2 years,2-8 weeks,1314.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.4
7,within an hour,100%,1.0,1.0,1.0,Queen Anne,1.0,Other,Private room,2,1.0,1.0,1.0,25.0,1,0.0,7,42,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0.0,strict,1.0,1.0,5,0-6 months,0-2 weeks,1161.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.6
8,unknown,unknown,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Private room,2,1.0,1.0,1.0,0.0,1,0.0,1125,66,95-100/100,10/10,9/10,10/10,9/10,10/10,10/10,0.0,strict,0.0,0.0,1,2-3 years,2-6 months,1356.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.4
9,within an hour,90-99%,1.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,4,1.0,1.0,1.0,40.0,1,0.0,365,49,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0.0,strict,1.0,1.0,6,1-2 years,2-8 weeks,1047.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,465.0
10,within a few hours,100%,1.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,2,1.0,1.0,1.0,15.0,2,15.0,7,0,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,1.0,0.0,1,6-12 months,2-8 weeks,1933.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,949.0500000000001
11,within a few hours,100%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,2,1.0,1.0,1.0,150.0,1,0.0,1125,21,95-100/100,10/10,10/10,9/10,10/10,10/10,9/10,0.0,strict,0.0,0.0,1,2-3 years,2-8 weeks,1093.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.06
12,within an hour,100%,1.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,4,1.0,2.0,3.0,95.0,1,0.0,14,90,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,0.0,0.0,1,0-6 months,2-6 months,509.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,676.2
13,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,5,1.0,2.0,3.0,85.0,4,20.0,1125,63,95-100/100,10/10,10/10,9/10,9/10,10/10,10/10,0.0,strict,0.0,0.0,1,6-12 months,0-2 weeks,359.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,990.0
14,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,16,3.5,6.0,15.0,300.0,8,50.0,29,65,95-100/100,9/10,10/10,10/10,10/10,10/10,10/10,1.0,strict,0.0,0.0,1,6-12 months,2-8 weeks,451.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3664.95
15,within a few hours,100%,0.0,1.0,0.0,Queen Anne,0.0,House,Entire home/apt,5,1.0,2.0,2.0,89.0,1,0.0,15,69,0-79/100,0-8/10,10/10,0-8/10,0-8/10,0-8/10,0-8/10,0.0,strict,0.0,0.0,1,2-3 years,2-8 weeks,1265.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.71
16,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Private room,2,1.0,1.0,1.0,35.0,1,25.0,10,89,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,0.0,moderate,0.0,0.0,1,6-12 months,0-2 weeks,810.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,300.3
17,within an hour,100%,1.0,1.0,1.0,Queen Anne,1.0,House,Private room,2,1.0,1.0,1.0,15.0,1,0.0,14,82,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1.0,moderate,0.0,0.0,1,0-6 months,2-8 weeks,369.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.84
18,unknown,unknown,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Private room,2,2.0,1.0,1.0,0.0,1,0.0,1125,0,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,flexible,0.0,0.0,1,no reviews,no reviews,979.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,unknown,unknown,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,10,3.5,5.0,5.0,250.0,1,0.0,30,84,80-94/100,10/10,9/10,9/10,9/10,0-8/10,0-8/10,0.0,flexible,0.0,0.0,1,0-6 months,2-6 months,244.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1722.0
20,within a few hours,100%,0.0,1.0,1.0,Queen Anne,0.0,Apartment,Entire home/apt,1,1.0,1.0,1.0,0.0,1,0.0,1125,85,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,flexible,0.0,0.0,1,1-2 years,0-2 weeks,635.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,110.0
21,within an hour,100%,0.0,1.0,0.0,Queen Anne,1.0,House,Private room,3,1.5,1.0,2.0,15.0,1,10.0,1125,90,80-94/100,9/10,9/10,9/10,9/10,10/10,0-8/10,0.0,moderate,0.0,0.0,1,0-6 months,2-6 months,475.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.28999999999999
22,within a day,100%,0.0,1.0,0.0,Queen Anne,1.0,House,Entire home/apt,8,2.0,4.0,4.0,0.0,1,0.0,1125,0,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,flexible,0.0,0.0,1,0-6 months,2-8 weeks,80.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1548.0
23,unknown,unknown,0.0,1.0,0.0,Queen Anne,1.0,House,Private room,2,1.0,1.0,1.0,0.0,1,0.0,1125,90,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,flexible,0.0,0.0,1,no reviews,no reviews,15.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
24,unknown,unknown,0.0,1.0,0.0,Queen Anne,1.0,House,Entire home/apt,5,2.5,3.0,3.0,150.0,1,0.0,1125,0,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,0.0,0.0,1,0-6 months,2-6 months,238.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0
25,within a few hours,50-89%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,8,2.5,3.0,5.0,200.0,6,50.0,1125,33,95-100/100,10/10,10/10,9/10,10/10,10/10,10/10,0.0,strict,0.0,0.0,2,1-2 years,2-6 months,571.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2340.0
26,within a few hours,100%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,5,1.0,2.0,3.0,35.0,1,0.0,1125,0,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,flexible,0.0,0.0,1,no reviews,no reviews,2189.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,within an hour,100%,1.0,1.0,1.0,Queen Anne,1.0,Other,Private room,2,1.0,1.0,1.0,25.0,1,0.0,7,49,80-94/100,10/10,10/10,10/10,10/10,9/10,9/10,0.0,strict,1.0,1.0,5,1-2 years,0-2 weeks,1161.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.2
28,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,6,2.0,3.0,3.0,125.0,1,0.0,1125,84,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1.0,moderate,0.0,0.0,1,2-3 years,0-2 weeks,1184.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1482.0000000000002
29,within an hour,50-89%,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,3,1.0,1.0,2.0,65.0,3,50.0,1125,30,80-94/100,0-8/10,9/10,0-8/10,10/10,9/10,9/10,0.0,strict,0.0,0.0,1,1-2 years,2-6 months,978.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.800000000000004
30,within an hour,90-99%,1.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,4,1.0,1.0,1.0,40.0,1,0.0,365,62,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,strict,1.0,1.0,6,1-2 years,2-6 months,1047.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0
31,within a few hours,90-99%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,6,1.5,3.0,3.0,100.0,6,60.0,1125,77,80-94/100,9/10,9/10,10/10,9/10,10/10,9/10,0.0,strict,0.0,0.0,8,0-6 months,0-2 weeks,1036.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417.0
32,within a day,50-89%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,4,3.0,3.0,2.0,80.0,1,0.0,120,9,80-94/100,9/10,9/10,9/10,9/10,10/10,9/10,0.0,flexible,0.0,0.0,1,0-6 months,2-8 weeks,268.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,917.0
33,within an hour,50-89%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,7,3.5,4.0,3.0,250.0,7,75.0,1125,0,0-79/100,0-8/10,9/10,0-8/10,9/10,9/10,0-8/10,1.0,strict,0.0,0.0,1,6-12 months,2-8 weeks,359.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,439.56
34,within an hour,100%,0.0,1.0,0.0,Queen Anne,1.0,Apartment,Entire home/apt,4,1.0,2.0,2.0,99.0,1,0.0,1125,68,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0.0,strict,0.0,0.0,1,0-6 months,2-8 weeks,838.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,360.93
35,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,4,1.0,1.0,2.0,50.0,2,25.0,365,90,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,1.0,moderate,0.0,0.0,2,0-6 months,2-8 weeks,155.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1087.5
36,within a day,0-49%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,8,3.0,3.0,3.0,150.0,6,20.0,1125,0,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0.0,strict,0.0,0.0,1,2-3 years,2-6 months,956.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.68
37,a few days or more,0-49%,0.0,1.0,0.0,Queen Anne,1.0,House,Private room,1,1.0,1.0,1.0,0.0,1,0.0,1125,88,95-100/100,9/10,0-8/10,10/10,10/10,10/10,10/10,0.0,flexible,0.0,0.0,1,6-12 months,2-8 weeks,483.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5
38,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,4,1.0,1.0,2.0,50.0,2,25.0,365,76,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1.0,moderate,0.0,0.0,2,0-6 months,2-8 weeks,155.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0
39,within a few hours,100%,1.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,2,1.0,0.0,1.0,20.0,1,0.0,1125,40,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,flexible,0.0,0.0,1,2-3 years,2-6 months,1372.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,475.2
40,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,4,1.0,1.0,2.0,40.0,2,15.0,1125,76,80-94/100,10/10,0-8/10,10/10,10/10,10/10,9/10,0.0,moderate,0.0,0.0,1,0-6 months,0-2 weeks,463.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.0
41,within a few hours,100%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,3,1.0,1.0,2.0,100.0,2,20.0,365,43,80-94/100,9/10,10/10,9/10,9/10,10/10,10/10,0.0,strict,1.0,1.0,1,6-12 months,2-6 months,869.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.24
42,unknown,unknown,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,4,1.5,2.0,2.0,100.0,4,0.0,30,33,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0.0,moderate,0.0,0.0,1,1-2 years,2-6 months,1337.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,965.9999999999999
43,within an hour,100%,1.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,3,1.5,1.0,2.0,50.0,1,0.0,1125,64,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,0.0,0.0,1,1-2 years,0-2 weeks,550.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1005.0
44,within a day,0-49%,0.0,1.0,1.0,Queen Anne,1.0,House,Private room,5,1.0,1.0,1.0,0.0,1,0.0,1125,11,95-100/100,10/10,10/10,9/10,9/10,10/10,10/10,0.0,flexible,0.0,0.0,1,0-6 months,2-6 months,222.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.5
45,within a day,0-49%,0.0,1.0,1.0,Queen Anne,1.0,Apartment,Entire home/apt,2,1.0,0.0,1.0,0.0,1,0.0,1125,87,80-94/100,9/10,9/10,9/10,9/10,9/10,9/10,0.0,flexible,0.0,0.0,1,1-2 years,0-2 weeks,832.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,229.0
46,within a day,50-89%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,10,3.0,4.0,4.0,200.0,1,0.0,1125,90,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,strict,0.0,0.0,1,no reviews,no reviews,669.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,2,1.0,0.0,1.0,50.0,1,0.0,1125,89,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,0.0,0.0,1,2-3 years,0-2 weeks,1214.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.20000000000002
48,unknown,unknown,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,4,1.0,1.0,2.0,55.0,2,25.0,1125,20,95-100/100,0-8/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,0.0,0.0,1,0-6 months,6-12 months,327.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.2
49,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,4,1.0,1.0,3.0,75.0,2,25.0,1125,89,80-94/100,10/10,10/10,9/10,10/10,10/10,9/10,1.0,moderate,0.0,0.0,1,0-6 months,0-2 weeks,999.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0
50,within an hour,100%,0.0,1.0,1.0,Queen Anne,1.0,House,Entire home/apt,2,1.0,0.0,1.0,50.0,2,50.0,1125,81,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,0.0,0.0,1,0-6 months,0-2 weeks,149.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,198.0
51,within an hour,100%,0.0,1.0,1.0,Queen Anne,0.0,Apartment,Entire home/apt,2,1.0,0.0,1.0,40.0,1,0.0,1125,29,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,flexible,0.0,0.0,1,no reviews,no reviews,336.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
